Nombre país,Forma de gobierno,Capital(es),Continente,Estatus ONU,Soberanía,Año_reconocimiento,Nombre_comun
República Islámica de Afganistán,República islámica presidencialista,Kabul,Asia,Miembro (1946),Reconocida,1946,Afganistán
República de Albania,República parlamentaria,Tirana,Europa,Miembro (1955),Reconocida,1955,Albania
República Federal de Alemania,República parlamentaria,Berlín,Europa,Miembro (1973),Reconocida,1973,Alemania
Principado de Andorra,Monarquía constitucional,Andorra la Vieja,Europa,Miembro (1993),Reconocida,1993,Andorra
República de Angola,República presidencialista,Luanda,África,Miembro (1976),Reconocida,1976,Angola
Antigua y Barbuda,Monarquía constitucional,Saint John,América,Miembro (1981),Reconocida,1981,
Reino de Arabia Saudita,Monarquía absoluta,Riad,Asia,Miembro (1945),Reconocida,1945,Arabia Saudita/Arabia Saudí
República Argelina Democrática y Popular,República semipresidencialista,Argel,África,Miembro (1962),Reconocida,1962,Argelia
República Argentina,República presidencialista,Buenos Aires,América,Miembro (1945),Reconocida,1945,Argentina
República de Armenia,República parlamentaria,Ereván,Asia-Europa,Miembro (1992),"Reconocida, excepto por Pakistán.",1992,Armenia
Mancomunidad de Australia,Monarquía constitucional,Camberra,Oceanía,Miembro (1945),Reconocida,1945,Australia
República de Austria,República parlamentaria,Viena,Europa,Miembro (1955),Reconocida,1955,Austria
República de Azerbaiyán,República semipresidencialista,Bakú,Asia-Europa,Miembro (1992),Reconocida,1992,Azerbaiyán
Mancomunidad de las Bahamas,Monarquía constitucional,Nasáu,América,Miembro (1973),Reconocida,1973,Bahamas
República Popular de Bangladés,República parlamentaria,Daca,Asia,Miembro (1974),Reconocida,1974,Bangladés
Barbados,República parlamentaria,Bridgetown,América,Miembro (1966),Reconocida,1966,
Reino de Baréin,Monarquía constitucional,Manama,Asia,Miembro (1971),Reconocida,1971,Baréin
Reino de Bélgica,Monarquía parlamentaria,Bruselas,Europa,Miembro (1945),Reconocida,1945,Bélgica
Belice,Monarquía constitucional,Belmopán,América,Miembro (1981),Reconocida,1981,
República de Benín,República presidencialista,Porto Novo,África,Miembro (1960),Reconocida,1960,Benín
República de Bielorrusia,República presidencialista,Minsk,Europa,Miembro (1945),Reconocida,1945,Bielorrusia/Belarús
República de la Unión de Myanmar,República parlamentaria (bajo junta militar),Naipyidó,Asia,Miembro (1948),Reconocida,1948,Birmania/Myanmar
Estado Plurinacional de Bolivia,República presidencialista,Sucre,América,Miembro (1945),Reconocida,1945,Bolivia
Bosnia y Herzegovina,República parlamentaria,Sarajevo,Europa,Miembro (1992),Reconocida,1992,Bosnia y Herzegovina/Bosnia-Herzegovina
República de Botsuana,República parlamentaria,Gaborone,África,Miembro (1966),Reconocida,1966,Botsuana
República Federativa del Brasil,República presidencialista,Brasilia,América,Miembro (1945),Reconocida,1945,Brasil
Estado de Brunéi Darussalam,Monarquía absoluta,Bandar Seri Begawan,Asia,Miembro (1984),Reconocida,1984,Brunéi
República de Bulgaria,República parlamentaria,Sofía,Europa,Miembro (1955),Reconocida,1955,Bulgaria
Burkina Faso,República semipresidencialista (bajo junta militar),Uagadugú,África,Miembro (1960),Reconocida,1960,
República de Burundi,República presidencialista,Gitega,África,Miembro (1962),Reconocida,1962,Burundi
Reino de Bután,Monarquía constitucional,Timbu,Asia,Miembro (1971),Reconocida,1971,Bután
República de Cabo Verde,República semipresidencialista,Praia,África,Miembro (1975),Reconocida,1975,Cabo Verde
Reino de Camboya,Monarquía parlamentaria,Nom Pen,Asia,Miembro (1955),Reconocida,1955,Camboya
República de Camerún,República presidencialista,Yaundé,África,Miembro (1960),Reconocida,1960,Camerún
Canadá,Monarquía constitucional,Otawa,América,Miembro (1945),Reconocida,1945,
Estado de Catar,Monarquía absoluta,Doha,Asia,Miembro (1971),Reconocida,1971,Catar
República Centroafricana,República semipresidencialista,Bangui,África,Miembro (1960),Reconocida,1960,República Centroafricana/Centroáfrica
República del Chad,República presidencialista (bajo junta militar),Yamena,África,Miembro (1960),Reconocida,1960,Chad
República Checa,República parlamentaria,Praga,Europa,Miembro (1993),Reconocida,1993,República Checa/Chequia
República de Chile,República presidencialista,Santiago,América,Miembro (1945),Reconocida,1945,Chile
República Popular China,Estado socialista unipartidista,Pekín,Asia,Miembro (1945),Parcialmente no reconocida. Reclamada por la República de China.,1945,China
República de Chipre,República presidencialista,Nicosia,Asia-Europa,Miembro (1960),"Reconocida, excepto por Turquía.",1960,Chipre
República de Colombia,República presidencialista,Bogotá,América,Miembro (1945),Reconocida,1945,Colombia
Unión de las Comoras,República presidencialista,Moroni,África,Miembro (1975),Reconocida,1975,Comoras
República del Congo,República semipresidencialista,Brazzaville,África,Miembro (1960),Reconocida,1960,República del Congo/Congo
República Democrática del Congo,República semipresidencialista,Kinsasa,África,Miembro (1960),Reconocida,1960,
República Popular Democrática de Corea,Estado socialista,Pionyang,Asia,Miembro (1991),"Reconocida, excepto por Japón y Corea del Sur.",1991,Corea del Norte
República de Corea,República presidencialista,Seúl,Asia,Miembro (1991),"Reconocida, excepto por Corea del Norte.",1991,Corea del Sur
República de Costa de Marfil,República presidencialista,Yamusukro,África,Miembro (1960),Reconocida,1960,Costa de Marfil
República de Costa Rica,República presidencialista,San José,América,Miembro (1945),Reconocida,1945,Costa Rica
República de Croacia,República parlamentaria,Zagreb,Europa,Miembro (1992),Reconocida,1992,Croacia
República de Cuba,Estado socialista unipartidista,La Habana,América,Miembro (1945),Reconocida,1945,Cuba
Reino de Dinamarca,Monarquía parlamentaria,Copenhague,Europa,Miembro (1945),Reconocida,1945,Dinamarca
Mancomunidad de Dominica,República parlamentaria,Roseau,América,Miembro (1978),Reconocida,1978,Dominica
República Dominicana,República presidencialista,Santo Domingo,América,Miembro (1945),Reconocida,1945,
República del Ecuador,República presidencialista,Quito,América,Miembro (1945),Reconocida,1945,Ecuador
República Árabe de Egipto,República semipresidencialista,El Cairo,África-Asia,Miembro (1945),Reconocida,1945,Egipto
República de El Salvador,República presidencialista,San Salvador,América,Miembro (1945),Reconocida,1945,El Salvador
Emiratos Árabes Unidos,Monarquía constitucional electiva,Abu Dabi,Asia,Miembro (1971),Reconocida,1971,
Estado de Eritrea,República unipartidista,Asmara,África,Miembro (1993),Reconocida,1993,Eritrea
República Eslovaca,República parlamentaria,Bratislava,Europa,Miembro (1993),Reconocida,1993,Eslovaquia
República de Eslovenia,República parlamentaria,Liubliana,Europa,Miembro (1992),Reconocida,1992,Eslovenia
Reino de España,Monarquía parlamentaria,Madrid,Europa,Miembro (1955),Reconocida,1955,España
Estados Unidos de América,República presidencialista,Washington D. C.,América,Miembro (1945),Reconocida,1945,Estados Unidos
República de Estonia,República parlamentaria,Tallin,Europa,Miembro (1991),Reconocida,1991,Estonia
República Democrática Federal de Etiopía,República parlamentaria,Adís Abeba,África,Miembro (1945),Reconocida,1945,Etiopía
República de Filipinas,República presidencialista,Manila,Asia,Miembro (1945),Reconocida,1945,Filipinas
República de Finlandia,República parlamentaria,Helsinki,Europa,Miembro (1955),Reconocida,1955,Finlandia
República de Fiyi,República parlamentaria,Suva,Oceanía,Miembro (1970),Reconocida,1970,Fiyi
República Francesa,República semipresidencialista,París,Europa,Miembro (1945),Reconocida,1945,Francia
República Gabonesa,República presidencialista,Libreville,África,Miembro (1960),Reconocida,1960,Gabón
República del Gambia,República presidencialista,Banjul,África,Miembro (1965),Reconocida,1965,Gambia
Georgia,República semipresidencialista,Tiflis,Asia-Europa,Miembro (1992),Reconocida,1992,
República de Ghana,República presidencialista,Acra,África,Miembro (1957),Reconocida,1957,Ghana
Granada,Monarquía constitucional,Saint George,América,Miembro (1974),Reconocida,1974,
República Helénica,República parlamentaria,Atenas,Europa,Miembro (1945),Reconocida,1945,Grecia
República de Guatemala,República presidencialista,Ciudad de Guatemala,América,Miembro (1945),Reconocida,1945,Guatemala
República de Guinea,República presidencialista (bajo junta militar),Conakri,África,Miembro (1958),Reconocida,1958,Guinea
República de Guinea-Bisáu,República semipresidencialista,Bisáu,África,Miembro (1974),Reconocida,1974,Guinea-Bisáu
República de Guinea Ecuatorial,República presidencialista,Malabo,África,Miembro (1968),Reconocida,1968,Guinea Ecuatorial
República Cooperativa de Guyana,República presidencialista,Georgetown,América,Miembro (1966),Reconocida,1966,Guyana
República de Haití,República semipresidencialista,Puerto Príncipe,América,Miembro (1945),Reconocida,1945,Haití
República de Honduras,República presidencialista,Tegucigalpa,América,Miembro (1945),Reconocida,1945,Honduras
Hungría,República parlamentaria,Budapest,Europa,Miembro (1955),Reconocida,1955,
República de la India,República parlamentaria,Nueva Delhi,Asia,Miembro (1945),Reconocida,1945,India
República de Indonesia,República presidencialista,Yakarta,Asia,Miembro (1950),Reconocida,1950,Indonesia
República de Irak,República parlamentaria,Bagdad,Asia,Miembro (1945),Reconocida,1945,Irak
República Islámica de Irán,República islámica presidencialista,Teherán,Asia,Miembro (1945),Reconocida,1945,Irán
República de Irlanda,República parlamentaria,Dublín,Europa,Miembro (1955),Reconocida,1955,Irlanda
República de Islandia,República parlamentaria,Reikiavik,Europa,Miembro (1946),Reconocida,1946,Islandia
Estado de Israel,República parlamentaria,oficial: Jerusalén de facto: Tel Aviv,Asia,Miembro (1949),Parcialmente no reconocido.,1949,Israel
República Italiana,República parlamentaria,Roma,Europa,Miembro (1955),Reconocida,1955,Italia
Jamaica,Monarquía constitucional,Kingston,América,Miembro (1962),Reconocida,1962,
Estado del Japón,Monarquía parlamentaria,Tokio,Asia,Miembro (1956),Reconocida,1956,Japón
Reino Hachemita de Jordania,Monarquía constitucional,Amán,Asia,Miembro (1955),Reconocida,1955,Jordania
República de Kazajistán,República semipresidencialista,Astaná,Asia-Europa,Miembro (1992),Reconocida,1992,Kazajistán
República de Kenia,República presidencialista,Nairobi,África,Miembro (1963),Reconocida,1963,Kenia
República Kirguisa,República parlamentaria,Biskek,Asia,Miembro (1992),Reconocida,1992,Kirguistán
